Epoch,Loss,MRR,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100
0,0.7694,0.0948,0.0350,0.2137,0.4263,0.5275,0.6575
1,0.5477,0.0925,0.0288,0.2313,0.4650,0.5962,0.7538
2,0.5117,0.1279,0.0437,0.3125,0.6288,0.7863,0.9263
3,0.4747,0.1642,0.0750,0.3375,0.6687,0.8287,0.9537
4,0.3891,0.1672,0.0712,0.3638,0.6713,0.8488,0.9625
5,0.4507,0.1757,0.0813,0.3688,0.6787,0.8313,0.9663
6,0.3651,0.1742,0.0712,0.3950,0.6937,0.8462,0.9675
7,0.3643,0.1731,0.0737,0.3663,0.6763,0.8337,0.9637
8,0.2639,0.1785,0.0737,0.3975,0.6850,0.8263,0.9750
9,0.3683,0.1597,0.0663,0.3438,0.6562,0.8200,0.9587
10,0.3282,0.1710,0.0638,0.3812,0.6775,0.8225,0.9738
11,0.4069,0.1674,0.0712,0.3663,0.6613,0.8125,0.9675
12,0.4513,0.1626,0.0638,0.3762,0.6675,0.8213,0.9675
13,0.4199,0.1755,0.0712,0.4012,0.6925,0.8200,0.9825
14,0.3860,0.1773,0.0775,0.3825,0.6687,0.8187,0.9675
15,0.2599,0.1713,0.0675,0.3912,0.6863,0.8237,0.9825
16,0.2696,0.1689,0.0625,0.3937,0.6850,0.8175,0.9725
17,0.2777,0.1750,0.0700,0.3912,0.6863,0.8225,0.9688
18,0.4302,0.1821,0.0800,0.4113,0.6813,0.8250,0.9712
19,0.3345,0.1785,0.0663,0.3950,0.6887,0.8313,0.9750
20,0.2825,0.1767,0.0737,0.3975,0.6850,0.8175,0.9725
21,0.3331,0.1831,0.0775,0.3925,0.6937,0.8300,0.9812
22,0.2129,0.1803,0.0750,0.3987,0.7037,0.8375,0.9775
23,0.2359,0.1751,0.0675,0.4000,0.6900,0.8237,0.9750
24,0.2449,0.1789,0.0737,0.4000,0.6937,0.8250,0.9788
25,0.2787,0.1776,0.0675,0.3975,0.6987,0.8213,0.9800
26,0.2250,0.1802,0.0688,0.3975,0.6987,0.8375,0.9825
27,0.2112,0.1777,0.0712,0.4088,0.7000,0.8313,0.9788
28,0.3248,0.1768,0.0712,0.3987,0.6925,0.8350,0.9775
29,0.2120,0.1766,0.0700,0.3950,0.6837,0.8287,0.9750
30,0.2306,0.1803,0.0725,0.3962,0.6825,0.8275,0.9788
31,0.2186,0.1770,0.0663,0.4025,0.6863,0.8225,0.9800
32,0.1980,0.1707,0.0612,0.3962,0.6900,0.8200,0.9812
33,0.2522,0.1810,0.0737,0.4062,0.6863,0.8175,0.9788
34,0.2227,0.1804,0.0737,0.3987,0.6813,0.8213,0.9762
35,0.2533,0.1770,0.0675,0.4037,0.6813,0.8213,0.9762
36,0.1543,0.1767,0.0663,0.4150,0.6925,0.8250,0.9825
37,0.2224,0.1812,0.0750,0.3975,0.6875,0.8225,0.9788
38,0.2455,0.1819,0.0725,0.4012,0.6787,0.8175,0.9762
39,0.1861,0.1810,0.0750,0.4037,0.6925,0.8175,0.9775
40,0.3189,0.1761,0.0688,0.4037,0.6813,0.8125,0.9825
41,0.1904,0.1795,0.0700,0.4050,0.6850,0.8263,0.9775
42,0.2914,0.1752,0.0675,0.4225,0.6950,0.8225,0.9775
43,0.2627,0.1816,0.0737,0.4163,0.6937,0.8363,0.9788
44,0.2190,0.1835,0.0737,0.4113,0.6800,0.8300,0.9775
45,0.2991,0.1840,0.0762,0.4225,0.6887,0.8250,0.9800
46,0.2176,0.1820,0.0725,0.4200,0.6887,0.8213,0.9812
47,0.2152,0.1872,0.0825,0.4075,0.6900,0.8387,0.9788
48,0.1858,0.1830,0.0712,0.4238,0.6937,0.8275,0.9775
49,0.3264,0.1855,0.0800,0.4138,0.6900,0.8287,0.9788
50,0.1224,0.1814,0.0712,0.4175,0.7037,0.8325,0.9800
51,0.2817,0.1856,0.0750,0.4375,0.6975,0.8337,0.9812
52,0.2100,0.1830,0.0712,0.4175,0.6913,0.8375,0.9800
53,0.2052,0.1862,0.0762,0.4238,0.6875,0.8375,0.9838
54,0.2090,0.1787,0.0625,0.4213,0.6950,0.8337,0.9812
55,0.2514,0.1870,0.0788,0.4113,0.7063,0.8363,0.9800
56,0.2212,0.1887,0.0775,0.4138,0.7075,0.8387,0.9788
57,0.2367,0.1868,0.0775,0.4175,0.6937,0.8325,0.9800
58,0.1667,0.1855,0.0725,0.4200,0.7125,0.8387,0.9788
59,0.2727,0.1931,0.0875,0.4387,0.6975,0.8337,0.9825
60,0.2094,0.1852,0.0712,0.4213,0.6925,0.8263,0.9812
61,0.3387,0.1951,0.0850,0.4275,0.7050,0.8400,0.9800
62,0.2363,0.1890,0.0737,0.4275,0.7087,0.8400,0.9762
63,0.2440,0.1898,0.0800,0.4188,0.7013,0.8400,0.9788
64,0.2061,0.1846,0.0725,0.4225,0.7100,0.8375,0.9800
65,0.1730,0.1878,0.0775,0.4325,0.7075,0.8313,0.9812
66,0.2353,0.1879,0.0775,0.4288,0.7150,0.8363,0.9788
67,0.1617,0.1885,0.0762,0.4288,0.7063,0.8500,0.9800
68,0.1561,0.1861,0.0750,0.4250,0.7075,0.8425,0.9775
69,0.1379,0.1816,0.0663,0.4325,0.7163,0.8425,0.9775
70,0.1766,0.1871,0.0762,0.4225,0.6937,0.8375,0.9800
71,0.2119,0.1831,0.0688,0.4263,0.7025,0.8387,0.9788
72,0.2031,0.1844,0.0688,0.4275,0.7113,0.8375,0.9762
73,0.2089,0.1860,0.0712,0.4338,0.7063,0.8413,0.9788
74,0.3372,0.1858,0.0688,0.4363,0.6987,0.8363,0.9788
75,0.2139,0.1839,0.0688,0.4288,0.7100,0.8425,0.9800
76,0.1754,0.1793,0.0625,0.4263,0.7087,0.8363,0.9788
77,0.2550,0.1772,0.0663,0.4238,0.7225,0.8387,0.9800
78,0.1913,0.1861,0.0712,0.4213,0.7025,0.8413,0.9825
79,0.1594,0.1830,0.0675,0.4275,0.7113,0.8425,0.9825
80,0.1212,0.1864,0.0700,0.4300,0.7100,0.8462,0.9775
81,0.1112,0.1822,0.0650,0.4363,0.7113,0.8475,0.9838
82,0.1116,0.1879,0.0725,0.4263,0.7050,0.8400,0.9838
83,0.2366,0.1860,0.0675,0.4325,0.7063,0.8350,0.9850
84,0.2053,0.1835,0.0638,0.4263,0.7050,0.8325,0.9762
85,0.1781,0.1821,0.0650,0.4300,0.7000,0.8363,0.9788
86,0.2032,0.1851,0.0675,0.4250,0.7100,0.8488,0.9812
87,0.1607,0.1830,0.0638,0.4250,0.7050,0.8425,0.9800
88,0.1902,0.1868,0.0712,0.4225,0.7050,0.8400,0.9825
89,0.1836,0.1838,0.0688,0.4313,0.7063,0.8325,0.9812
90,0.2314,0.1887,0.0737,0.4275,0.6913,0.8400,0.9750
91,0.2165,0.1877,0.0712,0.4338,0.7000,0.8438,0.9825
92,0.1366,0.1834,0.0688,0.4288,0.7013,0.8462,0.9775
93,0.1688,0.1856,0.0725,0.4188,0.7037,0.8425,0.9838
94,0.1509,0.1883,0.0737,0.4275,0.6950,0.8438,0.9812
95,0.2159,0.1876,0.0675,0.4350,0.6987,0.8450,0.9800
96,0.1403,0.1863,0.0700,0.4200,0.6987,0.8400,0.9788
97,0.1127,0.1894,0.0762,0.4313,0.6950,0.8400,0.9812
98,0.2207,0.1886,0.0725,0.4238,0.6975,0.8438,0.9762
99,0.1817,0.1889,0.0725,0.4225,0.6925,0.8425,0.9800
100,0.1699,0.1907,0.0725,0.4275,0.6800,0.8363,0.9800
101,0.1803,0.1926,0.0750,0.4213,0.6937,0.8400,0.9812
102,0.3002,0.1851,0.0712,0.4113,0.6850,0.8325,0.9738
103,0.2279,0.1917,0.0762,0.4275,0.6837,0.8325,0.9762
104,0.1753,0.1903,0.0750,0.4263,0.6937,0.8462,0.9788
105,0.1912,0.1884,0.0712,0.4263,0.6925,0.8337,0.9750
106,0.1713,0.1919,0.0788,0.4263,0.6813,0.8413,0.9762
107,0.2052,0.1926,0.0800,0.4238,0.6837,0.8300,0.9775
108,0.1957,0.1856,0.0675,0.4238,0.6900,0.8387,0.9775
109,0.1641,0.1890,0.0712,0.4225,0.6825,0.8375,0.9762
110,0.2071,0.1868,0.0712,0.4188,0.6787,0.8287,0.9700
111,0.1931,0.1848,0.0663,0.4238,0.6825,0.8337,0.9762
112,0.1583,0.1887,0.0762,0.4225,0.6763,0.8300,0.9750
113,0.2398,0.1865,0.0737,0.4250,0.6775,0.8325,0.9738
114,0.1964,0.1891,0.0775,0.4250,0.6863,0.8313,0.9762
115,0.2698,0.1889,0.0737,0.4163,0.6800,0.8287,0.9775
116,0.2964,0.1881,0.0762,0.4313,0.6825,0.8350,0.9738
117,0.1991,0.1882,0.0762,0.4188,0.6787,0.8263,0.9738
118,0.1993,0.1906,0.0737,0.4250,0.6875,0.8263,0.9775
119,0.2453,0.1886,0.0750,0.4125,0.6750,0.8250,0.9725
120,0.2516,0.1886,0.0775,0.4150,0.6825,0.8263,0.9712
121,0.1544,0.1874,0.0762,0.4188,0.6763,0.8325,0.9750
122,0.1828,0.1884,0.0750,0.4188,0.6800,0.8225,0.9738
123,0.1468,0.1918,0.0813,0.4200,0.6813,0.8213,0.9738
124,0.1466,0.1894,0.0788,0.4300,0.6875,0.8313,0.9738
125,0.2001,0.1892,0.0762,0.4175,0.6825,0.8237,0.9738
126,0.1267,0.1850,0.0737,0.4037,0.6787,0.8200,0.9725
127,0.0913,0.1893,0.0775,0.4213,0.6825,0.8237,0.9788
128,0.1260,0.1881,0.0750,0.4263,0.6875,0.8337,0.9762
129,0.1929,0.1846,0.0688,0.4163,0.6887,0.8200,0.9750
130,0.2581,0.1827,0.0700,0.4288,0.6800,0.8200,0.9750
131,0.2056,0.1858,0.0750,0.4062,0.6813,0.8150,0.9625
132,0.1368,0.1873,0.0775,0.4150,0.6763,0.8187,0.9700
133,0.1943,0.1892,0.0775,0.4238,0.6813,0.8237,0.9750
134,0.1277,0.1823,0.0725,0.4088,0.6787,0.8175,0.9725
135,0.1236,0.1862,0.0737,0.4200,0.6775,0.8187,0.9725
136,0.1374,0.1859,0.0750,0.4200,0.6900,0.8200,0.9725
137,0.1402,0.1790,0.0675,0.4175,0.6887,0.8163,0.9725
138,0.1326,0.1786,0.0700,0.4125,0.6863,0.8150,0.9762
139,0.1061,0.1812,0.0700,0.4213,0.6937,0.8187,0.9738
140,0.1411,0.1832,0.0700,0.4213,0.6863,0.8175,0.9725
141,0.2322,0.1899,0.0775,0.4338,0.6875,0.8250,0.9750
142,0.2124,0.1873,0.0725,0.4275,0.6937,0.8375,0.9762
143,0.1716,0.1793,0.0675,0.4088,0.6837,0.8087,0.9712
144,0.2044,0.1837,0.0712,0.4213,0.6787,0.8250,0.9750
145,0.2307,0.1793,0.0712,0.4225,0.6887,0.8200,0.9775
146,0.1224,0.1874,0.0762,0.4275,0.6850,0.8125,0.9762
147,0.1323,0.1781,0.0712,0.4050,0.6775,0.8150,0.9700
148,0.1442,0.1779,0.0700,0.4075,0.6725,0.8075,0.9725
149,0.1494,0.1762,0.0675,0.4050,0.6737,0.8100,0.9688
150,0.1488,0.1773,0.0688,0.4175,0.6875,0.8237,0.9750
151,0.2695,0.1726,0.0650,0.4037,0.6725,0.8050,0.9663
152,0.1087,0.1775,0.0663,0.4200,0.6825,0.8250,0.9738
153,0.1499,0.1789,0.0688,0.4050,0.6800,0.8187,0.9663
154,0.1525,0.1758,0.0663,0.4075,0.6750,0.8163,0.9700
155,0.1700,0.1788,0.0700,0.4150,0.6713,0.8163,0.9750
156,0.1068,0.1779,0.0688,0.4200,0.6787,0.8125,0.9700
157,0.0884,0.1742,0.0663,0.3912,0.6650,0.8025,0.9688
158,0.1745,0.1781,0.0737,0.4012,0.6700,0.8087,0.9663
159,0.1258,0.1743,0.0663,0.4062,0.6775,0.8175,0.9762
160,0.1217,0.1755,0.0700,0.4062,0.6737,0.8075,0.9688
161,0.1777,0.1731,0.0650,0.4062,0.6763,0.8087,0.9712
162,0.1581,0.1767,0.0700,0.3975,0.6850,0.8125,0.9675
163,0.0888,0.1719,0.0638,0.3987,0.6725,0.8013,0.9613
164,0.1707,0.1747,0.0663,0.3987,0.6700,0.8100,0.9650
165,0.0970,0.1736,0.0663,0.3937,0.6700,0.8137,0.9688
166,0.0798,0.1724,0.0625,0.4037,0.6737,0.8187,0.9700
167,0.1390,0.1734,0.0663,0.3975,0.6737,0.8100,0.9700
168,0.2772,0.1728,0.0650,0.4037,0.6737,0.8087,0.9587
169,0.1676,0.1720,0.0663,0.4025,0.6663,0.7950,0.9613
170,0.1649,0.1741,0.0663,0.3987,0.6725,0.8075,0.9700
171,0.1708,0.1760,0.0688,0.4012,0.6737,0.8113,0.9650
172,0.1731,0.1722,0.0638,0.4037,0.6663,0.8013,0.9688
173,0.1376,0.1720,0.0625,0.3975,0.6775,0.8063,0.9663
174,0.1577,0.1753,0.0650,0.4000,0.6725,0.8000,0.9675
175,0.2687,0.1731,0.0688,0.3975,0.6637,0.7975,0.9563
176,0.0710,0.1690,0.0625,0.4062,0.6687,0.8087,0.9675
177,0.3012,0.1726,0.0675,0.4000,0.6587,0.7987,0.9625
178,0.1564,0.1711,0.0625,0.4000,0.6675,0.7975,0.9600
179,0.2732,0.1746,0.0688,0.4050,0.6675,0.8050,0.9625
180,0.0923,0.1743,0.0638,0.3975,0.6737,0.8113,0.9625
181,0.2375,0.1748,0.0675,0.4000,0.6800,0.7975,0.9600
182,0.2299,0.1770,0.0688,0.4050,0.6713,0.7987,0.9637
183,0.2091,0.1730,0.0638,0.4088,0.6687,0.8137,0.9688
184,0.1106,0.1742,0.0650,0.4062,0.6737,0.8075,0.9675
185,0.1581,0.1735,0.0650,0.4050,0.6750,0.8025,0.9650
186,0.1563,0.1734,0.0650,0.4000,0.6713,0.7975,0.9613
187,0.1911,0.1769,0.0688,0.4062,0.6737,0.8063,0.9663
188,0.1437,0.1724,0.0675,0.4025,0.6700,0.8025,0.9625
189,0.1126,0.1780,0.0712,0.3925,0.6737,0.8050,0.9675
190,0.1029,0.1727,0.0688,0.4037,0.6675,0.7975,0.9625
191,0.2115,0.1757,0.0688,0.4062,0.6687,0.8025,0.9663
192,0.1083,0.1782,0.0700,0.4088,0.6713,0.8100,0.9625
193,0.2472,0.1762,0.0688,0.3975,0.6687,0.8087,0.9625
194,0.1770,0.1775,0.0700,0.4050,0.6637,0.7963,0.9587
195,0.1453,0.1757,0.0712,0.4025,0.6587,0.8000,0.9575
196,0.1745,0.1767,0.0712,0.3987,0.6675,0.7913,0.9575
197,0.1362,0.1781,0.0675,0.3962,0.6713,0.8125,0.9587
198,0.2180,0.1727,0.0650,0.4062,0.6637,0.8100,0.9575
199,0.0960,0.1737,0.0663,0.3987,0.6700,0.7975,0.9575
